linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB21B,C00771477,SB21B.4339,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORTH WORTH,TX,76155,,2021-07-11,718.0,REIMBURSEMENT [SB21B.4287]: TRAVEL: AIR,X,,2022
SB21B,C00771477,SB21B.4345,ORG,DELTA AIRLINES,,,,,,1030 DELTA BOULEVARD,,ATLANTA,GA,30354,,2021-06-26,608.2,REIMBURSEMENT [SB21B.4287]: TRAVEL: AIR,X,,2022
SB21B,C00771477,SB21B.4265,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-07-01,200.3,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4341,ORG,OFFICEMAX,,,,,,21950 CENTER RIDGE RD,,ROCKY RIVER,OH,44116,,2021-06-25,134.19,REIMBURSEMENT [SB21B.4287]: OFFICE SUPPLIES,X,,2022
SB21B,C00771477,SB21B.4343,ORG,FEDEX OFFICE,,,,,,3425 THOMASVILLE RD,,TALLAHASSEE,FL,32309,,2021-07-03,66.61,REIMBURSEMENT [SB21B.4287]: DELIVERY CHARGE,X,,2022
SB21B,C00771477,SB21B.4272,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-08-02,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4271,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-08-02,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4282,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-08-02,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4279,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-07-30,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4281,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-07-29,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4278,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-07-27,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4277,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-07-22,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4280,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-07-30,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4283,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-08-03,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4284,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-08-11,25.0,BANK FEES,,,2022
SB21B,C00771477,SB21B.4285,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,2021-08-11,25.0,BANK FEES,,,2022
